ID;locale;ruleName;ruleCode;status;sourceSystem;entityType;requestType;validationType;targetEntity;targetField;validationRule;validationValue;errorMessage;errorSeverity;blockSubmission;priority;isActive;category;businessRule;examples
13;en;Address Street Required;REQ_ADDR_STREET;Submitted;;;Create;Field;PartnerAddresses;street;Required;;Street address is required for submission;Error;true;30;true;Address;Street name and number;Hauptstrasse 123
14;de;Straße erforderlich;REQ_ADDR_STREET;Submitted;;;Create;Field;PartnerAddresses;street;Required;;Straßenadresse ist für die Einreichung erforderlich;Error;true;30;true;Address;Straßenname und Hausnummer;Hauptstrasse 123
15;en;Address City Required;REQ_ADDR_CITY;Submitted;;;Create;Field;PartnerAddresses;city;Required;;City is required for submission;Error;true;30;true;Address;City name;Berlin, Munich
16;de;Stadt erforderlich;REQ_ADDR_CITY;Submitted;;;Create;Field;PartnerAddresses;city;Required;;Stadt ist für die Einreichung erforderlich;Error;true;30;true;Address;Stadtname;Berlin, Munich
17;en;Address Country Required;REQ_ADDR_COUNTRY;Submitted;;;Create;Field;PartnerAddresses;country_code;Required;;Country code is required for submission;Error;true;30;true;Address;ISO country code;DE, US, GB
18;de;Land erforderlich;REQ_ADDR_COUNTRY;Submitted;;;Create;Field;PartnerAddresses;country_code;Required;;Ländercode ist für die Einreichung erforderlich;Error;true;30;true;Address;ISO-Ländercode;DE, US, GB
19;en;Address Postal Code;REQ_ADDR_POSTAL;Submitted;;;Create;Field;PartnerAddresses;postalCode;Required;;Postal code is required for submission;Error;true;30;true;Address;Postal/ZIP code;10115, SW1A 1AA
20;de;Postleitzahl;REQ_ADDR_POSTAL;Submitted;;;Create;Field;PartnerAddresses;postalCode;Required;;Postleitzahl ist für die Einreichung erforderlich;Error;true;30;true;Address;Postleitzahl;10115, SW1A 1AA
21;en;Email Address Required;REQ_EMAIL_ADDR;Submitted;;;Create;Field;PartnerEmails;emailAddress;Required;;Email address is required for submission;Error;true;30;true;Contact;Valid email address;admin@company.com
22;de;E-Mail-Adresse erforderlich;REQ_EMAIL_ADDR;Submitted;;;Create;Field;PartnerEmails;emailAddress;Required;;E-Mail-Adresse ist für die Einreichung erforderlich;Error;true;30;true;Contact;Gültige E-Mail-Adresse;admin@company.com
23;en;Email Format;VAL_EMAIL_FORMAT;Submitted;;;Create;Field;PartnerEmails;emailAddress;Email;;Invalid email format;Error;true;40;true;Contact;Must be valid email format;user@domain.com
24;de;E-Mail-Format;VAL_EMAIL_FORMAT;Submitted;;;Create;Field;PartnerEmails;emailAddress;Email;;Ungültiges E-Mail-Format;Error;true;40;true;Contact;Muss ein gültiges E-Mail-Format sein;user@domain.com
25;en;Email Type Required;REQ_EMAIL_TYPE;Submitted;Salesforce;;Create;Field;PartnerEmails;emailType_code;Required;;Email type is required;Error;true;30;true;Contact;General, Invoice, Orders;
26;de;E-Mail-Typ erforderlich;REQ_EMAIL_TYPE;Submitted;Salesforce;;Create;Field;PartnerEmails;emailType_code;Required;;E-Mail-Typ ist erforderlich;Error;true;30;true;Contact;Allgemein, Rechnung, Bestellungen;
27;en;Bank Name Recommended;REQ_BANK_NAME;Submitted;;;Create;Field;PartnerBanks;bankName;Required;;Bank name is recommended but not required;Warning;false;30;true;Banking;Name of financial institution;Deutsche Bank AG
28;de;Bankname empfohlen;REQ_BANK_NAME;Submitted;;;Create;Field;PartnerBanks;bankName;Required;;Bankname wird empfohlen, ist aber nicht erforderlich;Warning;false;30;true;Banking;Name des Finanzinstituts;Deutsche Bank AG
29;en;Bank Country Required;REQ_BANK_COUNTRY;Submitted;;;Create;Field;PartnerBanks;bankCountry_code;Required;;Bank country is required;Error;true;30;true;Banking;Country where bank is located;DE, US, GB
30;de;Bankland erforderlich;REQ_BANK_COUNTRY;Submitted;;;Create;Field;PartnerBanks;bankCountry_code;Required;;Bankland ist erforderlich;Error;true;30;true;Banking;Land, in dem sich die Bank befindet;DE, US, GB
31;en;Bank IBAN Format;VAL_BANK_IBAN;Submitted;;;Create;Field;PartnerBanks;iban;IBAN;;Invalid IBAN format;Error;true;40;true;Banking;Must follow ISO 13616 standard;DE89370400440532013000
32;de;Bank-IBAN-Format;VAL_BANK_IBAN;Submitted;;;Create;Field;PartnerBanks;iban;IBAN;;Ungültiges IBAN-Format;Error;true;40;true;Banking;Muss dem ISO 13616-Standard entsprechen;DE89370400440532013000
33;en;VAT ID Required;REQ_VAT_ID;Submitted;;;Create;Field;PartnerVatIds;vatNumber;Required;;VAT ID is required for submission;Error;true;30;true;Tax;Tax identification number;DE123456789
34;de;USt-IdNr. erforderlich;REQ_VAT_ID;Submitted;;;Create;Field;PartnerVatIds;vatNumber;Required;;USt-IdNr. ist für die Einreichung erforderlich;Error;true;30;true;Tax;Steueridentifikationsnummer;DE123456789
35;en;VAT ID Format;VAL_VAT_FORMAT;Submitted;;;Create;Field;PartnerVatIds;vatNumber;VAT;;Invalid VAT ID format for selected country;Error;true;40;true;Tax;Country-specific VAT format;DE123456789, GB999999973
36;de;USt-IdNr.-Format;VAL_VAT_FORMAT;Submitted;;;Create;Field;PartnerVatIds;vatNumber;VAT;;Ungültiges USt-IdNr.-Format für das ausgewählte Land;Error;true;40;true;Tax;Länderspezifisches USt-IdNr.-Format;DE123456789, GB999999973
37;en;VAT Country Required;REQ_VAT_COUNTRY;Submitted;;;Create;Field;PartnerVatIds;country_code;Required;;VAT country is required;Error;true;30;true;Tax;Country issuing VAT ID;DE, FR, GB
38;de;USt-Land erforderlich;REQ_VAT_COUNTRY;Submitted;;;Create;Field;PartnerVatIds;country_code;Required;;USt-Land ist erforderlich;Error;true;30;true;Tax;Land, das die USt-IdNr. ausstellt;DE, FR, GB
39;en;Payment Terms Coupa;REQ_PYMT_TERMS_COUPA;Submitted;Coupa;Supplier;Create;Field;BusinessPartnerRequests;paymentTerms_code;Required;;Payment terms required for Coupa suppliers;Error;true;35;true;Payment;Defines payment schedule;NET30, NET60
40;de;Zahlungsbedingungen Coupa;REQ_PYMT_TERMS_COUPA;Submitted;Coupa;Supplier;Create;Field;BusinessPartnerRequests;paymentTerms_code;Required;;Zahlungsbedingungen für Coupa-Lieferanten erforderlich;Error;true;35;true;Payment;Definiert den Zahlungsplan;NET30, NET60
41;en;Payment Method Supplier;REQ_PYMT_METHOD;Submitted;;Supplier;Create;Field;BusinessPartnerRequests;paymentMethod_code;Required;;Payment method required for suppliers;Error;true;35;true;Payment;How supplier receives payment;Bank Transfer, Check
42;de;Zahlungsmethode Lieferant;REQ_PYMT_METHOD;Submitted;;Supplier;Create;Field;BusinessPartnerRequests;paymentMethod_code;Required;;Zahlungsmethode für Lieferanten erforderlich;Error;true;35;true;Payment;Wie der Lieferant die Zahlung erhält;Bank Transfer, Check
43;en;Tax Number Required;REQ_TAX_NUMBER;Submitted;;;Create;Field;BusinessPartnerRequests;taxNumber;Required;;Tax number is required for submission;Warning;false;40;true;Tax;National tax identification;1234567890
44;de;Steuernummer erforderlich;REQ_TAX_NUMBER;Submitted;;;Create;Field;BusinessPartnerRequests;taxNumber;Required;;Steuernummer ist für die Einreichung erforderlich;Warning;false;40;true;Tax;Nationale Steueridentifikation;1234567890
45;en;Website Format;VAL_WEBSITE_FORMAT;New;;;Create;Field;BusinessPartnerRequests;website;Regex;^https?://.*$;Website must start with http:// or https://;Warning;false;60;true;Contact;Valid URL format;https://www.company.com
48;de;Webseiten-Format;VAL_WEBSITE_FORMAT;New;;;Create;Field;BusinessPartnerRequests;website;Regex;^https?://.*$;Webseite muss mit http:// oder https:// beginnen;Warning;false;60;true;Contact;Gültiges URL-Format;https://www.company.com
49;en;Phone Number Format;VAL_PHONE_FORMAT;Submitted;;;Create;Field;PartnerAddresses;phoneNumber;Regex;^\\+?[0-9\\s()\\-]{7,20}$;Invalid phone number format;Warning;false;50;true;Contact;International format accepted;+49 30 12345678
50;de;Telefonnummer-Format;VAL_PHONE_FORMAT;Submitted;;;Create;Field;PartnerAddresses;phoneNumber;Regex;^\\+?[0-9\\s()\\-]{7,20}$;Ungültiges Telefonnummer-Format;Warning;false;50;true;Contact;Internationales Format akzeptiert;+49 30 12345678
51;en;Postal Code DE Format;VAL_POSTAL_DE;Submitted;;;Create;Field;PartnerAddresses;postalCode;Regex;^[0-9]{5}$;German postal code must be 5 digits;Error;true;45;true;Address;DE specific validation;10115, 80331
52;de;Postleitzahl DE-Format;VAL_POSTAL_DE;Submitted;;;Create;Field;PartnerAddresses;postalCode;Regex;^[0-9]{5}$;Deutsche Postleitzahl muss 5 Ziffern haben;Error;true;45;true;Address;DE-spezifische Validierung;10115, 80331
53;en;Postal Code US Format;VAL_POSTAL_US;Submitted;;;Create;Field;PartnerAddresses;postalCode;Regex;^[0-9]{5}(-[0-9]{4})?$;US ZIP code must be 5 or 9 digits;Error;true;45;true;Address;US specific validation;12345, 12345-6789
54;de;Postleitzahl US-Format;VAL_POSTAL_US;Submitted;;;Create;Field;PartnerAddresses;postalCode;Regex;^[0-9]{5}(-[0-9]{4})?$;US-Postleitzahl muss 5 oder 9 Ziffern haben;Error;true;45;true;Address;US-spezifische Validierung;12345, 12345-6789
55;en;SWIFT Code Format;VAL_SWIFT_FORMAT;Submitted;;;Create;Field;PartnerBanks;swiftCode;Regex;^[A-Z]{6}[A-Z0-9]{2}([A-Z0-9]{3})?$;Invalid SWIFT/BIC code format;Error;true;45;true;Banking;8 or 11 alphanumeric;DEUTDEFF500
56;de;SWIFT-Code-Format;VAL_SWIFT_FORMAT;Submitted;;;Create;Field;PartnerBanks;swiftCode;Regex;^[A-Z]{6}[A-Z0-9]{2}([A-Z0-9]{3})?$;Ungültiges SWIFT/BIC-Code-Format;Error;true;45;true;Banking;8 oder 11 alphanumerische Zeichen;DEUTDEFF500
57;en;Address Type Required;REQ_ADDR_TYPE;Submitted;;;Create;Field;PartnerAddresses;addressType_code;Required;;Address type is required;Error;true;30;true;Address;Business, Established, Shipping;
58;de;Adresstyp erforderlich;REQ_ADDR_TYPE;Submitted;;;Create;Field;PartnerAddresses;addressType_code;Required;;Adresstyp ist erforderlich;Error;true;30;true;Address;Geschäft, Established, Versand;
59;en;At Least One Identification;REQ_MIN_IDENTIFICATION;Submitted;Coupa;;Create;Section;PartnerIdentifications;;MinCount;1;At least one identification is required for Coupa requests;Error;true;35;true;Identification;Ensures supplier has valid identification;Tax ID, VAT ID, Trade Register
60;de;Mindestens eine Identifikation;REQ_MIN_IDENTIFICATION;Submitted;Coupa;;Create;Section;PartnerIdentifications;;MinCount;1;Mindestens eine Identifikation ist für Coupa-Anfragen erforderlich;Error;true;35;true;Identification;Stellt sicher, dass der Lieferant eine gültige Identifikation hat;Tax ID, VAT ID, Handelsregister
61;en;SubAccount ID Required;REQ_SUBACCT_ID;Submitted;Salesforce;;Create;Field;SubAccounts;subAccountId;Required;;Sub-account ID is required;Error;true;30;true;SubAccount;Unique identifier for sub-account;SUB-001, SUB-002
62;de;SubAccount-ID erforderlich;REQ_SUBACCT_ID;Submitted;Salesforce;;Create;Field;SubAccounts;subAccountId;Required;;Sub-Account-ID ist erforderlich;Error;true;30;true;SubAccount;Eindeutige Kennung für Sub-Account;SUB-001, SUB-002
63;en;SubAccount Address Required;REQ_SUBACCT_ADDR;Submitted;Salesforce;;Create;Field;SubAccounts;address_ID;Required;;Address is required for sub-account;Error;true;30;true;SubAccount;Link to specific address;
64;de;SubAccount-Adresse erforderlich;REQ_SUBACCT_ADDR;Submitted;Salesforce;;Create;Field;SubAccounts;address_ID;Required;;Adresse ist für Sub-Account erforderlich;Error;true;30;true;SubAccount;Link zu spezifischer Adresse;
65;en;SubAccount Revenue Stream Required;REQ_SUBACCT_REVENUE;Submitted;Salesforce;;Create;Field;SubAccounts;revenueStream_code;Required;;Revenue stream is required for sub-account;Error;true;30;true;SubAccount;Revenue category;Influencer, FBAY, Marketplace
66;de;SubAccount Revenue Stream erforderlich;REQ_SUBACCT_REVENUE;Submitted;Salesforce;;Create;Field;SubAccounts;revenueStream_code;Required;;Revenue Stream ist für Sub-Account erforderlich;Error;true;30;true;SubAccount;Umsatzkategorie;Influencer, FBAY, Marktplatz
67;en;SubAccount Payment Terms Required;REQ_SUBACCT_PYMT_TERMS;Submitted;Salesforce;;Create;Field;SubAccounts;paymentTerms_code;Required;;Payment terms are required for sub-account;Error;true;30;true;SubAccount;Payment schedule;NET30, NET60
68;de;SubAccount Zahlungsbedingungen erforderlich;REQ_SUBACCT_PYMT_TERMS;Submitted;Salesforce;;Create;Field;SubAccounts;paymentTerms_code;Required;;Zahlungsbedingungen sind für Sub-Account erforderlich;Error;true;30;true;SubAccount;Zahlungsplan;NET30, NET60
69;en;SubAccount Billing Cycle Required;REQ_SUBACCT_BILLING;Submitted;Salesforce;;Create;Field;SubAccounts;billingCycle_code;Required;;Billing cycle is required for sub-account;Error;true;30;true;SubAccount;Billing frequency;Monthly, Quarterly, Annually
70;de;SubAccount Abrechnungszyklus erforderlich;REQ_SUBACCT_BILLING;Submitted;Salesforce;;Create;Field;SubAccounts;billingCycle_code;Required;;Abrechnungszyklus ist für Sub-Account erforderlich;Error;true;30;true;SubAccount;Abrechnungshäufigkeit;Monatlich, Vierteljährlich, Jährlich
71;en;SubAccount Dunning Strategy Required;REQ_SUBACCT_DUNNING;Submitted;Salesforce;;Create;Field;SubAccounts;dunningStrategy_code;Required;;Dunning strategy is required for sub-account;Error;true;30;true;SubAccount;Debt collection process;Standard, Escalated
72;de;SubAccount Mahnstrategie erforderlich;REQ_SUBACCT_DUNNING;Submitted;Salesforce;;Create;Field;SubAccounts;dunningStrategy_code;Required;;Mahnstrategie ist für Sub-Account erforderlich;Error;true;30;true;SubAccount;Inkassoprozess;Standard, Eskaliert
73;en;SubAccount Email Contact Type Required;REQ_SUBACCT_EMAIL_CONTACT_TYPE;Submitted;Salesforce;;Create;Field;SubAccountEmails;contactType_code;Required;;Contact type is required for sub-account email;Error;true;30;true;SubAccount;Contact classification;Primary, Secondary, Billing
74;de;SubAccount E-Mail-Kontakttyp erforderlich;REQ_SUBACCT_EMAIL_CONTACT_TYPE;Submitted;Salesforce;;Create;Field;SubAccountEmails;contactType_code;Required;;Kontakttyp ist für Sub-Account-E-Mail erforderlich;Error;true;30;true;SubAccount;Kontaktklassifizierung;Primär, Sekundär, Abrechnung
75;en;Payment Terms PI;REQ_PYMT_TERMS_PI;Submitted;PI;Supplier;Create;Field;BusinessPartnerRequests;paymentTerms_code;Required;;Payment terms required for PI suppliers;Error;true;35;true;Payment;Defines payment schedule;NET30, NET60
76;de;Zahlungsbedingungen PI;REQ_PYMT_TERMS_PI;Submitted;PI;Supplier;Create;Field;BusinessPartnerRequests;paymentTerms_code;Required;;Zahlungsbedingungen für PI-Lieferanten erforderlich;Error;true;35;true;Payment;Definiert den Zahlungsplan;NET30, NET60
77;en;At Least One Identification;REQ_MIN_IDENTIFICATION_PI;Submitted;PI;;Create;Section;PartnerIdentifications;;MinCount;1;At least one identification is required for PI requests;Error;true;35;true;Identification;Ensures supplier has valid identification;Tax ID, VAT ID, Trade Register
78;de;Mindestens eine Identifikation;REQ_MIN_IDENTIFICATION_PI;Submitted;PI;;Create;Section;PartnerIdentifications;;MinCount;1;Mindestens eine Identifikation ist für PI-Anfragen erforderlich;Error;true;35;true;Identification;Stellt sicher, dass der Lieferant eine gültige Identifikation hat;Tax ID, VAT ID, Handelsregister
